,Авторизоваться на сайте leroymerlin.ru,,,
,Проверки,Тестовые даннные,Результат,Статус прохождения
№,Проверка обоих полей,,,
1,Заполнить поля авторизации валидными данными и выполнить вход,"поля: 
email: makikag348@krunsea.com 
пароль: Pass12345",Система открывает главную страницу сайта,Passed
2,Не заполнять поля авторизации и выполнить вход,,"Система отображает подсказки для полей email и пароль: ""Поле обязательно для заполнения""",Passed
3,Заполнить поля авторизации не валидными данными и выполнить вход,"поля: 
email:mak38@krunsea.com
пароль: 5566777","Система отображает подсказку: ""Неверная почта или пароль""",Passed
,,,,
,"Проверка поля ""email""",,,
1,"Ввести валидные данные только в поле ""email""","поля: 
email: makikag348@krunsea.com 
пароль:5566777","Система отображает подсказку: ""Неверная почта или пароль""",Passed
2,"Ввести в поле ""email"" данные только в верхнем регистре","поля: 
email: MAKIKAG348@KRUNSEA.COM 
пароль: Pass12345",ошибки отсутствуют,Passed
3,"Ввести в поле ""email"" данные только в нижнем регистре","поля: 
email: makikag348@krunsea.com 
пароль: Pass12345",,Passed
4,"Ввести в поле ""email"" данные в верхнем и нижнем регистре","поля: 
email: mAkiKAg348@krUNsea.com 
пароль: Pass12345",,Passed
,,,,
"Проверка поля ""пароль""",,,,
1,"Ввести валидные данные только в поле ""пароль""","поля: email: 
mak38@krunsea.com
пароль: Pass12345","Система отображает подсказку: ""Неверная почта или пароль""",Passed
2,"Ввести в поле ""пароль"" данные в обратном регистре","поля: 
email: makikag348@krunsea.com 
пароль: pASS12345",,Passed
3,"Ввести в поле ""пароль"" данные только в верхнем регистре","поля: 
email: makikag348@krunsea.com 
пароль: PASS12345",,Passed
4,"Ввести в поле ""пароль"" данные только в нижнем регистре","поля: 
email: makikag348@krunsea.com 
пароль: pass12345",,Passed
5,"Ввести в поле ""пароль"" данные в случайном регистре","поля: 
email: makikag348@krunsea.com 
пароль: pAsS12345",,Passed
